Dia;Mes;Año;Temperatura media;Humedad media;Rocío medio;Presión media;Velocidad media;Racha media;Dirección media;Precipitación mensual;Precipitación anual;Intensidad máxima por minuto;Temperatura máxima;Temperatura mínima;Humedad máxima;Humedad mínima;Presión máxima;Presión mínima;Velocidad media máxima;Racha máxima
2;Junio;2020;22.1°C;56%;12.0°C;1011.5 hPa;0.6 km/h;1.7 km/h;267° (O);0.0 mm;138.0 mm;0.0 mm el 02 a las 23:59;29.6°C el 02 a las 18:37;15.1°C el 02 a las 07:25;84% el 02 a las 07:53;25% el 02 a las 18:40;1013.1 hPa el 02 a las 11:42;1009.0 hPa el 02 a las 20:05;16.7 km/h el 02 a las 15:54;27.8 km/h  del 193°(SSO) el 02 a las 15:03
3;Junio;2020;21.2°C;57%;12.0°C;1006.6 hPa;1.4 km/h;4.5 km/h;252° (OSO);0.0 mm;138.0 mm;0.0 mm el 03 a las 23:59;27.1°C el 03 a las 18:42;14.7°C el 03 a las 07:40;76% el 03 a las 07:35;42% el 03 a las 15:12;1010.6 hPa el 03 a las 00:01;1002.9 hPa el 03 a las 19:08;20.4 km/h el 03 a las 14:14;40.7 km/h  del 017°(NNE) el 03 a las 18:09
4;Junio;2020;18.6°C;60%;10.0°C;1004.0 hPa;5.2 km/h;9.4 km/h;347° (NNO);1.0 mm;139.0 mm;0.2 mm el 04 a las 08:34;22.7°C el 04 a las 17:17;14.8°C el 04 a las 09:02;90% el 04 a las 09:48;35% el 04 a las 17:19;1009.8 hPa el 04 a las 23:59;1001.3 hPa el 04 a las 06:28;22.2 km/h el 04 a las 16:13;35.2 km/h  del 333°(NNO) el 04 a las 16:12
5;Junio;2020;19.2°C;53%;8.7°C;1010.3 hPa;0.8 km/h;2.4 km/h;265° (O);1.0 mm;139.0 mm;0.0 mm el 05 a las 23:59;27.8°C el 05 a las 20:16;9.8°C el 05 a las 07:21;84% el 05 a las 07:28;31% el 05 a las 18:17;1012.4 hPa el 05 a las 09:38;1008.2 hPa el 05 a las 19:36;16.7 km/h el 05 a las 12:10;25.9 km/h  del 199°(SSO) el 05 a las 18:15
6;Junio;2020;21.0°C;51%;9.9°C;1006.9 hPa;1.7 km/h;5.4 km/h;233° (SO);1.0 mm;139.0 mm;0.0 mm el 06 a las 23:59;26.8°C el 06 a las 18:10;14.8°C el 06 a las 06:40;76% el 06 a las 08:33;30% el 06 a las 18:54;1009.9 hPa el 06 a las 02:01;1003.4 hPa el 06 a las 19:45;20.4 km/h el 06 a las 16:16;38.9 km/h  del 273°(O) el 06 a las 19:12
7;Junio;2020;18.7°C;58%;10.0°C;1006.0 hPa;1.6 km/h;3.9 km/h;321° (NO);2.0 mm;140.0 mm;0.4 mm el 07 a las 19:29;24.4°C el 07 a las 16:57;13.9°C el 07 a las 07:56;81% el 07 a las 14:21;40% el 07 a las 00:12;1010.4 hPa el 07 a las 23:59;1004.1 hPa el 07 a las 03:19;16.7 km/h el 07 a las 20:26;25.9 km/h  del 360°(N) el 07 a las 18:14
8;Junio;2020;15.9°C;54%;6.1°C;1012.7 hPa;0.5 km/h;2.5 km/h;55° (NE);2.0 mm;140.0 mm;0.0 mm el 08 a las 23:59;22.1°C el 08 a las 17:29;10.4°C el 08 a las 07:14;75% el 08 a las 02:04;34% el 08 a las 17:41;1016.0 hPa el 08 a las 23:59;1010.4 hPa el 08 a las 00:05;7.4 km/h el 08 a las 16:20;18.5 km/h  del 05°(N) el 08 a las 19:15
9;Junio;2020;16.4°C;51%;5.5°C;1016.2 hPa;1.6 km/h;4.2 km/h;22° (NNE);2.0 mm;140.0 mm;0.0 mm el 09 a las 23:59;23.0°C el 09 a las 15:52;8.7°C el 09 a las 07:38;80% el 09 a las 07:44;28% el 09 a las 17:11;1017.8 hPa el 09 a las 10:10;1014.4 hPa el 09 a las 19:56;18.5 km/h el 09 a las 16:20;27.8 km/h  del 355°(N) el 09 a las 16:38
10;Junio;2020;18.0°C;48%;6.3°C;1014.2 hPa;0.5 km/h;1.9 km/h;31° (NNE);2.0 mm;140.0 mm;0.0 mm el 10 a las 23:59;25.0°C el 10 a las 17:07;10.3°C el 10 a las 07:21;71% el 10 a las 07:31;31% el 10 a las 21:31;1017.0 hPa el 10 a las 08:46;1010.1 hPa el 10 a las 20:36;13.0 km/h el 10 a las 14:55;25.9 km/h  del 194°(SSO) el 10 a las 14:02
11;Junio;2020;18.4°C;54%;8.6°C;1005.4 hPa;2.1 km/h;6.0 km/h;288° (ONO);2.0 mm;140.0 mm;0.0 mm el 11 a las 23:59;23.6°C el 11 a las 14:56;13.1°C el 11 a las 07:53;73% el 11 a las 08:09;39% el 11 a las 19:28;1010.5 hPa el 11 a las 00:04;1000.7 hPa el 11 a las 19:41;22.2 km/h el 11 a las 10:36;33.3 km/h  del 239°(OSO) el 11 a las 11:59
12;Junio;2020;14.4°C;60%;6.5°C;1005.2 hPa;2.9 km/h;8.1 km/h;269° (O);4.0 mm;142.0 mm;0.2 mm el 12 a las 22:19;20.0°C el 12 a las 18:40;8.7°C el 12 a las 07:18;90% el 12 a las 23:47;45% el 12 a las 19:31;1010.2 hPa el 12 a las 23:59;1003.1 hPa el 12 a las 00:04;18.5 km/h el 12 a las 11:00;38.9 km/h  del 138°(SE) el 12 a las 18:22
13;Junio;2020;15.6°C;65%;8.1°C;1013.5 hPa;1.2 km/h;3.5 km/h;255° (OSO);4.0 mm;142.0 mm;0.0 mm el 13 a las 23:59;22.9°C el 13 a las 18:15;8.7°C el 13 a las 07:25;96% el 13 a las 06:31;36% el 13 a las 18:23;1016.7 hPa el 13 a las 23:58;1010.2 hPa el 13 a las 00:12;14.8 km/h el 13 a las 15:49;29.6 km/h  del 265°(O) el 13 a las 18:49
14;Junio;2020;18.5°C;53%;8.1°C;1017.0 hPa;0.9 km/h;2.8 km/h;304° (NO);4.0 mm;142.0 mm;0.0 mm el 14 a las 23:59;25.7°C el 14 a las 19:08;11.1°C el 14 a las 07:45;81% el 14 a las 08:06;34% el 14 a las 19:43;1018.5 hPa el 14 a las 12:01;1015.6 hPa el 14 a las 19:15;16.7 km/h el 14 a las 17:04;24.1 km/h  del 211°(SSO) el 14 a las 17:01
15;Junio;2020;19.9°C;52%;9.5°C;1017.8 hPa;1.5 km/h;4.0 km/h;303° (ONO);4.0 mm;142.0 mm;0.0 mm el 15 a las 23:59;26.2°C el 15 a las 18:03;12.7°C el 15 a las 07:45;75% el 15 a las 07:54;36% el 15 a las 18:16;1019.2 hPa el 15 a las 10:18;1016.1 hPa el 15 a las 19:58;16.7 km/h el 15 a las 18:45;27.8 km/h  del 197°(SSO) el 15 a las 16:07
16;Junio;2020;19.8°C;50%;8.8°C;1015.7 hPa;3.3 km/h;7.2 km/h;340° (NNO);4.0 mm;142.0 mm;0.0 mm el 16 a las 23:59;24.8°C el 16 a las 15:12;15.2°C el 16 a las 06:58;67% el 16 a las 08:36;33% el 16 a las 15:12;1017.2 hPa el 16 a las 02:08;1013.6 hPa el 16 a las 19:29;20.4 km/h el 16 a las 14:49;27.8 km/h  del 09°(N) el 16 a las 19:11
17;Junio;2020;19.6°C;47%;7.6°C;1013.1 hPa;1.3 km/h;3.5 km/h;319° (NO);4.0 mm;142.0 mm;0.0 mm el 17 a las 23:59;25.4°C el 17 a las 18:39;12.8°C el 17 a las 06:58;68% el 17 a las 07:13;31% el 17 a las 17:52;1015.5 hPa el 17 a las 00:37;1010.5 hPa el 17 a las 21:16;13.0 km/h el 17 a las 14:55;27.8 km/h  del 304°(NO) el 17 a las 17:27
18;Junio;2020;21.0°C;47%;8.5°C;1010.7 hPa;1.0 km/h;3.0 km/h;316° (NO);4.0 mm;142.0 mm;0.0 mm el 18 a las 23:59;28.7°C el 18 a las 19:38;13.0°C el 18 a las 07:20;72% el 18 a las 07:59;27% el 18 a las 19:00;1012.1 hPa el 18 a las 23:59;1008.9 hPa el 18 a las 19:19;20.4 km/h el 18 a las 19:00;29.6 km/h  del 205°(SSO) el 18 a las 17:13
19;Junio;2020;22.1°C;52%;10.6°C;1014.0 hPa;0.9 km/h;2.6 km/h;271° (O);4.0 mm;142.0 mm;0.0 mm el 19 a las 23:59;29.3°C el 19 a las 17:34;14.7°C el 19 a las 07:24;78% el 19 a las 09:27;26% el 19 a las 18:30;1016.4 hPa el 19 a las 23:59;1012.0 hPa el 19 a las 00:08;14.8 km/h el 19 a las 16:07;27.8 km/h  del 200°(SSO) el 19 a las 17:33
20;Junio;2020;23.8°C;37%;7.8°C;1017.3 hPa;0.8 km/h;2.5 km/h;223° (SO);4.0 mm;142.0 mm;0.0 mm el 20 a las 23:59;31.6°C el 20 a las 19:16;0.0°C el 20 a las 18:51;63% el 20 a las 07:20;0% el 20 a las 18:51;1018.7 hPa el 20 a las 12:18;1016.0 hPa el 20 a las 19:17;18.5 km/h el 20 a las 20:13;29.6 km/h  del 234°(SO) el 20 a las 19:21
21;Junio;2020;25.9°C;35%;8.8°C;1018.3 hPa;1.0 km/h;2.8 km/h;304° (ONO);4.0 mm;142.0 mm;0.0 mm el 21 a las 23:59;33.7°C el 21 a las 18:37;17.3°C el 21 a las 07:46;57% el 21 a las 08:40;23% el 21 a las 18:40;1019.9 hPa el 21 a las 10:31;1016.0 hPa el 21 a las 19:48;14.8 km/h el 21 a las 15:17;22.2 km/h  del 325°(NO) el 21 a las 20:52
25;Junio;2020;31.0°C;33%;12.8°C;1008.6 hPa;1.6 km/h;5.4 km/h;255° (OSO);4.0 mm;142.0 mm;0.0 mm el 25 a las 23:59;33.6°C el 25 a las 19:15;24.3°C el 25 a las 23:59;47% el 25 a las 23:57;22% el 25 a las 14:02;1013.0 hPa el 25 a las 14:01;1007.3 hPa el 25 a las 19:10;16.7 km/h el 25 a las 16:18;27.8 km/h  del 212°(SSO) el 25 a las 16:17
26;Junio;2020;24.6°C;45%;10.7°C;1010.2 hPa;1.3 km/h;4.1 km/h;260° (O);4.0 mm;142.0 mm;0.0 mm el 26 a las 23:59;29.9°C el 26 a las 17:50;18.1°C el 26 a las 07:32;70% el 26 a las 07:05;20% el 26 a las 18:31;1011.7 hPa el 26 a las 23:54;1008.7 hPa el 26 a las 19:09;22.2 km/h el 26 a las 15:59;50.0 km/h  del 275°(O) el 26 a las 16:50
27;Junio;2020;24.6°C;44%;11.1°C;1012.5 hPa;1.5 km/h;4.2 km/h;326° (NO);4.0 mm;142.0 mm;0.0 mm el 27 a las 23:59;31.6°C el 27 a las 17:49;17.2°C el 27 a las 08:04;63% el 27 a las 07:29;31% el 27 a las 17:46;1014.1 hPa el 27 a las 10:21;1011.2 hPa el 27 a las 18:53;22.2 km/h el 27 a las 18:42;42.6 km/h  del 317°(NO) el 27 a las 18:41
28;Junio;2020;26.3°C;46%;12.7°C;1013.5 hPa;0.6 km/h;2.0 km/h;283° (ONO);4.0 mm;142.0 mm;0.0 mm el 28 a las 23:59;34.2°C el 28 a las 18:40;17.3°C el 28 a las 07:56;75% el 28 a las 08:09;25% el 28 a las 18:09;1015.3 hPa el 28 a las 10:35;1011.5 hPa el 28 a las 19:39;13.0 km/h el 28 a las 13:08;24.1 km/h  del 200°(SSO) el 28 a las 16:42
29;Junio;2020;28.0°C;40%;11.7°C;1011.5 hPa;0.7 km/h;2.4 km/h;265° (O);4.0 mm;142.0 mm;0.0 mm el 29 a las 23:59;35.4°C el 29 a las 18:05;18.6°C el 29 a las 07:36;68% el 29 a las 07:24;17% el 29 a las 20:29;1013.6 hPa el 29 a las 09:50;1008.3 hPa el 29 a las 20:09;16.7 km/h el 29 a las 15:50;24.1 km/h  del 202°(SSO) el 29 a las 17:24
30;Junio;2020;28.6°C;42%;13.2°C;1007.9 hPa;0.7 km/h;2.5 km/h;193° (SSO);4.0 mm;142.0 mm;0.0 mm el 30 a las 23:57;36.4°C el 30 a las 19:34;20.9°C el 30 a las 07:44;70% el 30 a las 08:18;21% el 30 a las 19:07;1010.1 hPa el 30 a las 08:56;1004.6 hPa el 30 a las 19:36;16.7 km/h el 30 a las 15:19;25.9 km/h  del 190°(S) el 30 a las 17:42
1;Julio;2020;27.5°C;38%;11.6°C;1008.0 hPa;1.3 km/h;4.0 km/h;274° (O);0.0 mm;142.0 mm;0.0 mm el 01 a las 00:00;33.6°C el 01 a las 20:34;19.6°C el 01 a las 07:58;59% el 01 a las 08:16;26% el 01 a las 20:33;1009.9 hPa el 01 a las 23:59;1006.5 hPa el 01 a las 00:11;20.4 km/h el 01 a las 14:01;33.3 km/h  del 213°(SSO) el 01 a las 13:45
2;Julio;2020;26.1°C;40%;10.7°C;1010.6 hPa;2.9 km/h;7.5 km/h;324° (NO);0.0 mm;142.0 mm;0.0 mm el 02 a las 23:59;32.0°C el 02 a las 17:22;18.2°C el 02 a las 07:54;66% el 02 a las 08:08;24% el 02 a las 17:41;1012.7 hPa el 02 a las 23:59;1009.5 hPa el 02 a las 18:31;20.4 km/h el 02 a las 17:40;35.2 km/h  del 185°(S) el 02 a las 14:56
3;Julio;2020;23.9°C;43%;9.4°C;1015.1 hPa;0.7 km/h;2.7 km/h;17° (NNE);0.0 mm;142.0 mm;0.0 mm el 03 a las 23:59;32.2°C el 03 a las 20:00;15.7°C el 03 a las 07:49;69% el 03 a las 07:50;21% el 03 a las 21:18;1016.5 hPa el 03 a las 11:09;1012.6 hPa el 03 a las 00:00;11.1 km/h el 03 a las 18:37;22.2 km/h  del 018°(NNE) el 03 a las 18:35
4;Julio;2020;24.9°C;35%;7.4°C;1017.7 hPa;0.2 km/h;1.0 km/h;336° (NNO);0.0 mm;142.0 mm;0.0 mm el 04 a las 23:59;34.8°C el 04 a las 19:44;14.3°C el 04 a las 07:34;57% el 04 a las 07:06;19% el 04 a las 20:48;1019.6 hPa el 04 a las 10:06;1015.4 hPa el 04 a las 19:50;11.1 km/h el 04 a las 14:24;18.5 km/h  del 188°(S) el 04 a las 18:20
5;Julio;2020;27.7°C;32%;8.7°C;1016.2 hPa;0.3 km/h;1.5 km/h;31° (NNE);0.0 mm;142.0 mm;0.0 mm el 05 a las 23:59;36.2°C el 05 a las 19:47;18.9°C el 05 a las 07:41;51% el 05 a las 11:30;19% el 05 a las 20:19;1018.5 hPa el 05 a las 03:01;1012.6 hPa el 05 a las 19:47;11.1 km/h el 05 a las 18:20;22.2 km/h  del 200°(SSO) el 05 a las 18:19
6;Julio;2020;28.8°C;39%;12.9°C;1012.8 hPa;0.2 km/h;1.0 km/h;14° (NNE);0.0 mm;142.0 mm;0.0 mm el 06 a las 23:59;36.4°C el 06 a las 19:28;21.2°C el 06 a las 07:45;57% el 06 a las 08:39;25% el 06 a las 18:59;1014.4 hPa el 06 a las 09:51;1010.1 hPa el 06 a las 20:29;9.3 km/h el 06 a las 17:11;18.5 km/h  del 184°(S) el 06 a las 17:23
7;Julio;2020;29.0°C;33%;10.5°C;1011.3 hPa;0.5 km/h;2.1 km/h;27° (NNE);0.0 mm;142.0 mm;0.0 mm el 07 a las 23:58;37.4°C el 07 a las 18:13;20.7°C el 07 a las 07:39;50% el 07 a las 06:10;18% el 07 a las 20:13;1013.1 hPa el 07 a las 09:52;1008.3 hPa el 07 a las 19:16;24.1 km/h el 07 a las 18:51;29.6 km/h  del 201°(SSO) el 07 a las 18:50
8;Julio;2020;28.2°C;35%;10.9°C;1009.4 hPa;2.1 km/h;5.5 km/h;195° (SSO);0.0 mm;142.0 mm;0.0 mm el 08 a las 23:59;35.5°C el 08 a las 17:11;22.9°C el 08 a las 07:36;47% el 08 a las 06:16;23% el 08 a las 17:27;1013.5 hPa el 08 a las 08:00;1006.2 hPa el 08 a las 19:34;18.5 km/h el 08 a las 19:52;44.4 km/h  del 219°(SO) el 08 a las 19:27
9;Julio;2020;25.2°C;45%;12.0°C;1012.1 hPa;0.7 km/h;2.9 km/h;83° (E);0.8 mm;142.8 mm;0.4 mm el 09 a las 18:27;32.9°C el 09 a las 15:42;20.5°C el 09 a las 07:45;60% el 09 a las 19:00;27% el 09 a las 17:11;1014.0 hPa el 09 a las 23:59;1010.5 hPa el 09 a las 17:31;11.1 km/h el 09 a las 17:04;29.6 km/h  del 168°(SSE) el 09 a las 20:33
10;Julio;2020;25.0°C;49%;12.5°C;1012.2 hPa;0.3 km/h;1.3 km/h;144° (SE);0.8 mm;142.8 mm;0.0 mm el 10 a las 23:59;32.7°C el 10 a las 20:02;18.0°C el 10 a las 07:42;72% el 10 a las 07:47;27% el 10 a las 20:11;1014.4 hPa el 10 a las 00:14;1010.0 hPa el 10 a las 21:21;9.3 km/h el 10 a las 13:34;18.5 km/h  del 209°(SSO) el 10 a las 13:33
11;Julio;2020;27.7°C;45%;13.9°C;1011.7 hPa;1.2 km/h;3.7 km/h;165° (SSE);0.8 mm;142.8 mm;0.0 mm el 11 a las 23:59;34.7°C el 11 a las 20:10;20.8°C el 11 a las 08:03;68% el 11 a las 08:35;25% el 11 a las 20:46;1013.5 hPa el 11 a las 11:00;1009.1 hPa el 11 a las 20:40;14.8 km/h el 11 a las 23:58;29.6 km/h  del 196°(SSO) el 11 a las 23:32
12;Julio;2020;26.1°C;54%;15.5°C;1012.1 hPa;1.2 km/h;3.7 km/h;181° (S);1.0 mm;143.0 mm;0.2 mm el 12 a las 07:18;31.8°C el 12 a las 17:14;21.6°C el 12 a las 08:05;76% el 12 a las 07:47;33% el 12 a las 18:21;1015.4 hPa el 12 a las 23:59;1010.0 hPa el 12 a las 01:30;13.0 km/h el 11 a las 00:47;29.6 km/h  del 202°(SSO) el 12 a las 00:21
13;Julio;2020;25.7°C;48%;13.1°C;1014.8 hPa;0.2 km/h;1.4 km/h;79° (ENE);1.0 mm;143.0 mm;0.0 mm el 13 a las 23:59;33.3°C el 13 a las 18:22;18.3°C el 13 a las 07:29;69% el 13 a las 05:49;29% el 13 a las 18:45;1016.7 hPa el 13 a las 10:19;1012.3 hPa el 13 a las 20:27;9.3 km/h el 13 a las 15:30;24.1 km/h  del 104°(ESE) el 13 a las 15:30
14;Julio;2020;25.5°C;38%;9.5°C;1012.0 hPa;0.7 km/h;3.3 km/h;79° (E);1.0 mm;143.0 mm;0.0 mm el 14 a las 23:59;33.0°C el 14 a las 18:34;19.0°C el 14 a las 07:19;57% el 14 a las 23:59;21% el 14 a las 21:15;1014.7 hPa el 14 a las 01:13;1007.7 hPa el 14 a las 18:41;11.1 km/h el 14 a las 21:34;22.2 km/h  del 187°(S) el 14 a las 22:21
15;Julio;2020;24.7°C;42%;10.3°C;1013.5 hPa;0.2 km/h;1.3 km/h;80° (E);1.0 mm;143.0 mm;0.0 mm el 15 a las 23:59;32.2°C el 15 a las 20:02;17.4°C el 15 a las 07:54;62% el 15 a las 02:26;25% el 15 a las 19:55;1015.1 hPa el 15 a las 12:14;1012.1 hPa el 15 a las 19:25;7.4 km/h el 15 a las 16:04;18.5 km/h  del 192°(SSO) el 15 a las 16:04
16;Julio;2020;26.0°C;39%;10.5°C;1014.5 hPa;0.4 km/h;2.0 km/h;104° (ESE);1.0 mm;143.0 mm;0.0 mm el 16 a las 23:59;34.6°C el 16 a las 19:51;17.7°C el 16 a las 08:06;55% el 16 a las 06:35;25% el 16 a las 19:55;1016.7 hPa el 16 a las 09:54;1011.4 hPa el 16 a las 20:07;7.4 km/h el 16 a las 20:28;16.7 km/h  del 069°(ENE) el 16 a las 09:37
17;Julio;2020;27.1°C;31%;7.7°C;1012.2 hPa;1.2 km/h;3.7 km/h;30° (NNE);1.0 mm;143.0 mm;0.0 mm el 17 a las 23:59;35.3°C el 17 a las 18:17;19.5°C el 17 a las 08:00;49% el 17 a las 04:44;15% el 17 a las 19:45;1014.2 hPa el 17 a las 08:37;1009.3 hPa el 17 a las 18:46;13.0 km/h el 17 a las 19:52;22.2 km/h  del 348°(NNO) el 17 a las 20:04
18;Julio;2020;26.1°C;34%;7.2°C;1011.7 hPa;0.9 km/h;2.3 km/h;3° (N);1.0 mm;143.0 mm;0.0 mm el 18 a las 23:59;36.2°C el 18 a las 18:34;16.8°C el 18 a las 07:37;57% el 18 a las 11:12;11% el 18 a las 20:45;1013.6 hPa el 18 a las 09:32;1008.9 hPa el 18 a las 19:32;11.1 km/h el 18 a las 19:38;22.2 km/h  del 05°(N) el 18 a las 19:15
19;Julio;2020;27.0°C;33%;8.5°C;1010.6 hPa;0.9 km/h;2.4 km/h;272° (O);1.0 mm;143.0 mm;0.0 mm el 19 a las 23:59;36.2°C el 19 a las 18:38;17.3°C el 19 a las 08:08;57% el 19 a las 10:17;19% el 19 a las 20:02;1012.2 hPa el 19 a las 09:49;1008.1 hPa el 19 a las 20:02;16.7 km/h el 19 a las 18:11;29.6 km/h  del 236°(SO) el 19 a las 16:47
20;Julio;2020;27.3°C;34%;8.6°C;1010.8 hPa;1.0 km/h;2.6 km/h;212° (SSO);1.0 mm;143.0 mm;0.0 mm el 20 a las 23:58;36.2°C el 20 a las 18:29;18.1°C el 20 a las 07:21;60% el 20 a las 08:26;15% el 20 a las 18:37;1012.3 hPa el 20 a las 12:01;1009.1 hPa el 20 a las 19:56;20.4 km/h el 20 a las 17:17;27.8 km/h  del 212°(SSO) el 20 a las 13:54
21;Julio;2020;29.6°C;38%;13.4°C;1012.2 hPa;1.5 km/h;4.5 km/h;342° (NNO);1.0 mm;143.0 mm;0.0 mm el 21 a las 23:59;32.7°C el 21 a las 15:48;23.3°C el 21 a las 08:04;61% el 21 a las 08:04;27% el 21 a las 16:38;1013.6 hPa el 21 a las 08:11;1011.0 hPa el 21 a las 17:01;14.8 km/h el 21 a las 20:37;22.2 km/h  del 026°(NNE) el 21 a las 20:50
22;Julio;2020;25.8°C;53%;14.2°C;1013.7 hPa;0.3 km/h;1.2 km/h;63° (ENE);7.0 mm;149.0 mm;1.6 mm el 22 a las 05:42;32.7°C el 22 a las 20:07;18.2°C el 22 a las 07:36;89% el 22 a las 08:14;26% el 22 a las 19:48;1015.3 hPa el 22 a las 10:10;1012.3 hPa el 22 a las 21:05;11.1 km/h el 22 a las 15:41;16.7 km/h  del 013°(NNE) el 22 a las 16:17
23;Julio;2020;27.5°C;45%;13.6°C;1012.5 hPa;0.5 km/h;1.7 km/h;240° (OSO);7.0 mm;149.0 mm;0.0 mm el 23 a las 23:59;34.7°C el 23 a las 16:22;18.6°C el 23 a las 07:50;73% el 23 a las 08:07;28% el 23 a las 19:52;1014.5 hPa el 23 a las 03:56;1009.2 hPa el 23 a las 21:19;14.8 km/h el 23 a las 16:37;27.8 km/h  del 253°(OSO) el 23 a las 16:44
24;Julio;2020;28.7°C;39%;12.6°C;1009.4 hPa;1.2 km/h;3.5 km/h;316° (NO);7.0 mm;149.0 mm;0.0 mm el 24 a las 23:59;35.7°C el 24 a las 19:11;20.7°C el 24 a las 08:06;65% el 24 a las 08:12;20% el 24 a las 18:37;1010.9 hPa el 24 a las 10:07;1007.2 hPa el 24 a las 19:35;14.8 km/h el 24 a las 13:55;27.8 km/h  del 246°(OSO) el 24 a las 18:19
25;Julio;2020;28.4°C;38%;11.5°C;1010.0 hPa;0.9 km/h;3.1 km/h;153° (SSE);7.0 mm;149.0 mm;0.0 mm el 25 a las 23:59;35.8°C el 25 a las 18:37;21.0°C el 25 a las 07:17;58% el 25 a las 06:11;19% el 25 a las 19:31;1011.8 hPa el 25 a las 10:29;1007.4 hPa el 25 a las 20:35;18.5 km/h el 25 a las 15:31;24.1 km/h  del 205°(SSO) el 25 a las 19:25
26;Julio;2020;29.8°C;29%;9.0°C;1010.0 hPa;0.9 km/h;2.8 km/h;272° (O);7.0 mm;149.0 mm;0.0 mm el 26 a las 23:59;37.5°C el 26 a las 19:21;20.0°C el 26 a las 08:04;52% el 26 a las 07:40;15% el 26 a las 19:33;1012.1 hPa el 26 a las 10:37;1008.2 hPa el 26 a las 20:01;20.4 km/h el 26 a las 16:24;29.6 km/h  del 245°(OSO) el 26 a las 16:49
27;Julio;2020;29.7°C;35%;12.0°C;1010.4 hPa;0.9 km/h;2.6 km/h;202° (SSO);7.0 mm;149.0 mm;0.0 mm el 27 a las 23:59;38.6°C el 27 a las 19:53;20.4°C el 27 a las 07:55;55% el 27 a las 08:08;21% el 27 a las 20:24;1012.6 hPa el 27 a las 12:29;1007.7 hPa el 27 a las 20:53;18.5 km/h el 27 a las 14:31;27.8 km/h  del 210°(SSO) el 27 a las 15:51
28;Julio;2020;29.5°C;38%;13.2°C;1009.4 hPa;0.9 km/h;2.9 km/h;224° (SO);7.0 mm;149.0 mm;0.0 mm el 28 a las 23:59;34.4°C el 28 a las 16:05;22.4°C el 28 a las 08:20;54% el 28 a las 08:17;27% el 28 a las 21:51;1010.6 hPa el 28 a las 09:49;1008.3 hPa el 28 a las 21:03;14.8 km/h el 28 a las 16:35;25.9 km/h  del 207°(SSO) el 28 a las 13:49
29;Julio;2020;29.3°C;40%;13.5°C;1009.8 hPa;0.4 km/h;1.6 km/h;248° (OSO);7.0 mm;149.0 mm;0.0 mm el 29 a las 23:59;36.9°C el 29 a las 18:47;20.6°C el 29 a las 07:27;68% el 29 a las 07:45;21% el 29 a las 20:25;1011.8 hPa el 29 a las 11:40;1007.4 hPa el 29 a las 20:02;13.0 km/h el 29 a las 16:04;22.2 km/h  del 198°(SSO) el 29 a las 23:50
30;Julio;2020;30.4°C;38%;13.7°C;1009.0 hPa;2.3 km/h;5.9 km/h;202° (SSO);7.0 mm;149.0 mm;0.0 mm el 30 a las 23:59;37.8°C el 30 a las 18:03;23.2°C el 30 a las 07:56;58% el 30 a las 04:03;18% el 30 a las 20:48;1011.1 hPa el 30 a las 10:55;1005.3 hPa el 30 a las 19:01;22.2 km/h el 30 a las 19:39;42.6 km/h  del 197°(SSO) el 30 a las 19:07
31;Julio;2020;28.9°C;36%;10.7°C;1011.2 hPa;0.7 km/h;2.2 km/h;272° (O);7.0 mm;149.0 mm;0.0 mm el 31 a las 23:57;37.2°C el 31 a las 19:53;19.2°C el 31 a las 08:09;61% el 31 a las 08:15;15% el 31 a las 20:00;1012.9 hPa el 31 a las 10:53;1009.3 hPa el 31 a las 00:11;14.8 km/h el 31 a las 18:59;27.8 km/h  del 209°(SSO) el 31 a las 18:49
1;Agosto;2020;29.3°C;29%;8.5°C;101.2 kPa;1.8 km/h;4.6 km/h;269° (O);0.0 mm;24.4 mm;0.0 mm el 01 a las 00:00;36.8°C el 01 a las 18:23;20.6°C el 01 a las 07:28;49% el 01 a las 08:20;14% el 01 a las 16:08;101.4 kPa el 01 a las 11:48;101.0 kPa el 01 a las 18:15;18.5 km/h el 01 a las 18:17;35.2 km/h  del 360°(N) el 01 a las 18:16
2;Agosto;2020;27.5°C;40%;11.7°C;101.1 kPa;2.0 km/h;4.8 km/h;347° (NNO);0.0 mm;24.4 mm;0.0 mm el 02 a las 23:59;34.9°C el 02 a las 17:03;20.6°C el 02 a las 07:59;64% el 02 a las 08:33;18% el 02 a las 16:50;101.2 kPa el 02 a las 10:12;100.8 kPa el 02 a las 19:58;14.8 km/h el 02 a las 16:47;27.8 km/h  del 345°(NNO) el 02 a las 17:29
3;Agosto;2020;25.2°C;42%;10.6°C;101.1 kPa;0.5 km/h;2.0 km/h;41° (NE);0.0 mm;24.4 mm;0.0 mm el 03 a las 23:59;32.3°C el 03 a las 18:30;18.5°C el 03 a las 08:37;64% el 03 a las 08:23;25% el 03 a las 20:51;101.3 kPa el 03 a las 12:06;100.9 kPa el 03 a las 19:35;11.1 km/h el 03 a las 13:51;18.5 km/h  del 05°(N) el 03 a las 20:50
